文本,文本1,文本2
,,
,,
    對人體有高度毒性        通過攝入或直接接觸，尤其是與眼睛接觸，可發生紫斑大戟中毒。應立即就醫，因為症狀可能從輕微到嚴重。該植物的有毒部分是作為乳狀液體流出的汁液。如果你攝入了汁液，你會嘔吐。將汁液吸入眼睛會導致輕度結膜炎到嚴重的角膜葡萄膜炎，甚至失明。這是一種相當常見的雜草，存在於花園、人行道、草坪和路邊，對兒童構成危險。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
,,
    對狗有毒   朱蕉包含稱為皂苷的毒素，它存在於整個植物中，攝入後對狗有中等毒性。典型症狀包括嘔吐和腹瀉；如果該植物被大量食用，則可能需要獸醫注意。    關於毒性的進一步資訊    ,    對貓有毒   對貓有中度毒性，食用朱蕉 （ Cordyline fruticosa ）會導致嘔吐和腹瀉，並可能導致攝入植物任何部分的貓過度流口水、食慾不振和抑鬱。因為這種植物味道不好，所以很少有貓吃到足以導致死亡的食物。但是，如果貓表現出極端症狀，仍建議進行獸醫護理。    關於毒性的進一步資訊    ,
    對人體有輕微毒性        由於植物的草酸含量，食用皺葉酸模會導致人類輕度至中度毒性。食用這種植物會增加患腎結石、尿路刺激的風險，並且在母親食用了皺葉酸模後會對母乳喂養的嬰兒產生通便作用。當攝入非常大量的這種植物時，最有可能發生副作用，儘管毒性是輕微的。    關於毒性的進一步資訊    ,    對貓有毒   許多Rumex crispus屬植物含有可溶性草酸鹽，對貓有毒的化學物質。 皺葉酸模植物的任何部分都會導致輕度中毒，表現為胃腸道紊亂，如嘔吐、痙攣和腹瀉。嚴重或可能致命的情況只有在長期攝入或一次食用大量植物時才會發生。立即就醫，以免發展成更嚴重的情況。    關於毒性的進一步資訊    ,
,,
,,
    對人體有輕微毒性        皺葉莢蒾沒有化學毒性。取而代之的是，它覆蓋著細小的毛髮，這些毛髮非常刺激，觸摸它的人會引起皮疹。這些毛髮還會刺激食用者的口腔和消化道，導致潛在的嚴重胃部不適。此外，在修剪或去除過程中，毛髮有時會被吸入。觸摸植物的敏感個體最終會在受影響的區域出現皮疹。吃了它的人最終可能會在消化道上下出現同樣的皮疹，導致噁心、流涎、嘔吐、腹瀉，有時還會出現危險程度的絞痛。    關於毒性的進一步資訊    ,,
,,
,,
,,
    對人體有輕微毒性        當大量食用新鮮或更常見的苦艾酒時， 中亞苦蒿植物的所有部分都是有毒的，會導致嚴重的疾病。中毒症狀包括健忘、譫妄、抽搐和腦損傷。 中亞苦蒿可以在受干擾地區作為雜草生長或作為花園中栽培的觀賞植物生長。由於這種植物被用作苦艾酒的成分，因此意外或故意攝入最有可能發生中毒。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
,,
,,
,,
    對人體有中度毒性        如果成人或兒童意外攝入， 梔子花作為一般規則，有些人在處理這種植物或意外攝入時可能會產生過敏反應。然而，暴露於這種植物或其他梔子花的人不會出現預期的不良反應。    關於毒性的進一步資訊    ,    對狗有毒   梔子花中毒可以從需要醫療干預的中度到重度。症狀通常包括心血管變化、震顫、瞳孔擴大和胃腸道刺激。整株植物對狗有毒，但漿果中的毒素濃度最高。    關於毒性的進一步資訊    ,    對貓有毒   梔子花 （ Gardenia jasminoides ）對貓有中度至重度毒性。幸運的是，因為它有一種令人討厭的味道，貓不願意吃太多。攝入的症狀可能包括大量嘔吐、腹瀉和蕁麻疹。死亡並不常見，但如果貓表現出嚴重疾病的症狀，則應尋求獸醫的注意。    關於毒性的進一步資訊    
,,
,,
,,
,,
,,
    對人體有輕微毒性        美國蔓越莓灌木叢中的漿果被認為具有輕微毒性，尤其是當它們未完全成熟時。它們含有高含量的多酚，如果攝入足夠多的漿果，會刺激胃，導致噁心、流涎過多、胃痛、腹瀉和嘔吐。他們應該遠離兒童和認知障礙的人，以防止他們面臨這些後果。    關於毒性的進一步資訊    ,,
,,
    對人體有高度毒性        沼澤乳草在植物各部位含有樹脂、強心苷等多種有毒成分。 沼澤乳草中毒的症狀通常會在攝入後幾個小時內出現，可能包括嘔吐、腹瀉、噁心、腹部不適、虛弱、木僵和意識模糊。如果沼澤乳草 ，症狀會變得更加嚴重，可能導致癲癇發作、心律不規則和心率快速降低。它甚至會導致昏迷、癱瘓和死亡。    關於毒性的進一步資訊    ,    對貓有毒   貓需要遠離劇毒的沼澤乳草 。這種毒素存在於乳白色的汁液中，植物的所有部分都含有它。攝入應被視為緊急獸醫緊急情況。症狀包括腹瀉、抽搐、緊張或抑鬱、突然虛脫和死亡。    關於毒性的進一步資訊    ,
    對人體有輕微毒性        沼澤栗橡具有輕微的毒性，如果被攝入就會激活，就像許多其他橡樹一樣。在某些部位被吃掉的情況下，它會引起輕度到中度的症狀。嫩葉和橡子有毒，因為它們含有單寧。這些單寧會引起胃部不適、便秘、腹瀉、血便和極度口渴等症狀。在最壞的情況下，腎臟會受到影響。由於這些樹在公園和院子裡很常見，孩子們通常很容易拿到它們，他們可能會不小心吃到掉在地上的嫩葉或橡子。    關於毒性的進一步資訊    ,,
,,
,,
    對人體有輕微毒性        沼生櫟具有一些輕微的毒性，可以通過攝入激活。這種植物的某些部分具有輕微毒性，因為它們含有單寧。這些部分包括橡子和樹葉，尤其是幼葉。如果攝入，它們會引起胃部不適、便秘、便血、腹瀉、極度口渴和多尿等症狀。這些樹在公園和院子裡很常見，這意味著它們很容易接近。弱勢群體包括兒童，他們可以在沒有意識到危險的情況下輕鬆撿起並咀嚼橡子和樹葉。    關於毒性的進一步資訊    ,,
    對狗有毒   Kalanchoe gastonis-bonnieri屬的物種對狗有劇毒。如果您懷疑您的狗吃了任何數量的掌上珠植物，您應該立即尋求獸醫的注意。這些植物的所有部分都含有可能影響狗的心臟和神經系統的毒素，儘管花朵通常是毒性最大的。攝入會導致腹瀉、嘔吐、唾液分泌過多、食慾不振、協調性喪失和全身無力。更嚴重的病例可能會出現癲癇發作、心率異常、虛脫或死亡。     ,    對貓有毒   許多掌上珠 （ Kalanchoe gastonis-bonnieri ）品種對貓有毒，懷疑食用時必須立即就醫。稱為蟾蜍二烯內酯的有害毒素存在於植物的所有部位，尤其是在花朵中。中毒的最初症狀是嘔吐、腹瀉、流口水、心率變化、虛弱和四肢發冷，但如果不及時治療，中毒會導致心臟驟停和死亡。     ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        芸香是大劑量食用時具有劇毒的植物。它也是一種皮膚刺激物，會導致植物日光性皮炎，暴露在陽光下會出現疼痛的水泡。不太嚴重的症狀是炎症和發紅。攝入大量雜草會導致劇烈的腹痛。嘔吐和腹瀉很常見，可能會變得嚴重。在極端情況下會發生系統性器官衰竭，最終導致死亡。    關於毒性的進一步資訊    ,,
,,
,,
    對人體有高度毒性        月桂對人無毒，但是對狗和貓有毒。    關於毒性的進一步資訊    ,    對狗有毒   月桂則它具有輕度至中度毒性。症狀可能包括腹瀉、嗜睡、嘔吐和抑鬱。如果您的寵物吃大量它，它可能會導致胃腸道阻塞。建議去看獸醫。    關於毒性的進一步資訊    ,    對貓有毒   雖然對人類來說是一種有價值的烹飪植物，但由於其高含量的丁香酚月桂 （ Laurus nobilis攝入花或葉會導致大約 30 分鐘後嘔吐，隨後出現腹瀉，並且可能不願意進食。這些症狀反過來可能會導致脫水，這本身就是一種嚴重的情況。如果症狀令人擔憂，應尋求獸醫的注意。    關於毒性的進一步資訊    
,,
,,
    對狗有毒   除了在這種植物種子周圍發現的成熟果肉外，其所有部分都含有氰化物，對狗有毒。中毒跡象包括呼吸困難、牙齦變成明亮的蘆葦、休克、瞳孔放大，甚至死亡。當它處於枯萎過程中時， 圓葉櫻桃 如果您認為您的狗有攝入這種植物的風險，請盡快諮詢您的獸醫。    關於毒性的進一步資訊    ,    對貓有毒   許多Prunus mahaleb屬植物，包括杏、櫻桃和李子，都含有對貓有致命毒性的生氰化學物質；如果貓吃了其中一種植物的任何部分，則必須立即就醫。根據物種的不同，葉子、莖、種子、花蕾、核、果實和（或）漿果可能有毒。 圓葉櫻桃中毒的症狀包括牙齦發紅、流口水、嘔吐、瞳孔放大、呼吸困難、心跳加快、喘氣和休克。    關於毒性的進一步資訊    ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
    對貓有毒   Dianthus armeria種對貓有輕微毒性。 原生種小石竹植物各部位均含有萜類皂苷。如果攝入這些化學物質會導致輕微的胃腸道問題（嘔吐和腹瀉），如果接觸會導致輕微的皮膚刺激。嘴巴和嘴唇可能會紅腫。如果出現虛弱和脫水等繼發症狀，請尋求獸醫護理。     ,,
,,
    對狗有毒   對狗有輕度至中度毒性，狗對鬱金香攝入的反應強度取決於攝入的數量。毒素存在於整個植物中，但最集中在鱗莖中。攝入可能導致腹瀉、嘔吐和過度流口水。在極端情況下，如果吃了一個或多個完整的球莖，狗可能會出現心率加快或呼吸困難。如果您的狗表現出更嚴重的跡象，則應尋求獸醫的注意。     ,    對貓有毒   貓應該遠離中等毒性的鬱金香 。球莖含有最多的毒素，但攝入植物的任何部分都會引起各種症狀，包括嘔吐、腹瀉和抑鬱。症狀通常很快就會出現，但鬱金香中毒很少是致命的。如果您懷疑您的貓攝入了這些植物的任何部分，請致電您的獸醫尋求幫助。     ,
,,
    對人體有輕微毒性        芋葉蔓綠絨中毒最有可能發生在意外攝入植物中。雖然有毒化合物草酸鈣主要存在於葉和莖中，但植物的所有部分都具有輕度毒性。食用植物的任何部分都可能導致輕度至重度疾病，包括嘔吐和口腔、喉嚨和消化道刺激。 芋葉蔓綠絨的毒素還可以與體內的其他藥物相互作用並引起不良副作用。 芋葉蔓綠絨很可能作為室內植物出現，並且可能會給兒童帶來更高的意外食用風險。    關於毒性的進一步資訊    ,    對狗有毒   經常在家中遇到， 芋葉蔓綠絨對狗可能具有中度至重度毒性。它們的汁液在莖、葉和根中循環草酸鈣晶體。攝入這些晶體通常會引起口腔和喉嚨周圍的刺激或腫脹，這通常伴隨著吞嚥困難、用爪子抓嘴、過度流口水、嘔吐或腹瀉。在更嚴重的情況下，可能會出現呼吸困難或心率異常等症狀。在這種情況下，您應該尋求獸醫治療。值得慶幸的是，狗不會攝入大量這種毒素，因為這些植物往往非常令人討厭。    關於毒性的進一步資訊    ,    對貓有毒   許多品種的芋葉蔓綠絨在其汁液中含有不溶性草酸鈣，對貓有中等毒性。根據腫脹反應的副作用，可能需要獸醫注意。有毒化合物存在於植物的所有部分。中毒症狀包括口腔、舌頭和嘴唇腫脹和灼痛，嘔吐、流口水和吞嚥困難。    關於毒性的進一步資訊    
    對人體有輕微毒性        如果食用準備不當或未煮熟， 芋會因其含有的毒性而傷害人類。由存在於植物各部分的草酸鈣晶體引起的影響可能是中度到更嚴重的。有多種症狀，包括口腔灼痛和腫脹、呼吸和吞嚥困難、疼痛、嘔吐和流涎過多。即使與嘴接觸也會引起刺激和灼痛。兒童可能特別容易受到這種植物的影響，因此如果在您的花園中種植芋作為觀賞植物，請確保兒童無法接觸到這種植物。    關於毒性的進一步資訊    ,    對狗有毒   芋在攝入時對狗有中度毒性。咀嚼該植物的任何部分後，症狀可能包括口腔、舌頭和嘴唇疼痛和腫脹、過度流口水、嘔吐和吞嚥困難。因為它也會導致腎臟損傷，如果您懷疑您的狗吃了這種植物，建議您聯繫您的獸醫。    關於毒性的進一步資訊    ,    對貓有毒   芋 （ Colocasia esculenta ）植物的任何部分都會釋放草酸鈣晶體，對貓有中等毒性。這種晶體會刺激口腔，引起疼痛和腫脹。攝入可能導致嘔吐和腹瀉。有時氣道會膨脹，使貓難以呼吸。在這種情況下，可能需要獸醫干預。    關於毒性的進一步資訊    
    對人體有輕微毒性        玉竹的莖、葉和漿果在攝入時對人體有毒。雖然嫩枝有時會像蘆筍一樣被煮熟食用，但中毒最有可能是由於意外攝入植物的其他有毒部分而發生的。毒性較低，中毒症狀包括嘔吐和腹瀉。 玉竹通常可以作為花園中的栽培植物找到。    關於毒性的進一步資訊    ,,
,,
    對狗有毒   由於皂苷存在於植物的所有部分，因此玉簪症狀包括腹痛、嘔吐、腹瀉、腹脹和不適。除非攝入大量，否則通常不會致命，但建議獸醫注意。刷到植物上也會引起皮膚刺激。    關於毒性的進一步資訊    ,    對貓有毒   玉簪 （ Hosta plantaginea ）是陰涼花園中常見的主食，但是，它對貓構成了非常真實的風險。植物的所有部分，包括根、葉和花，都含有有毒的皂苷。消化不良是攝入後最常見的症狀，包括嘔吐和腹瀉。大量攝入可能會損害循環系統。    關於毒性的進一步資訊    ,
,,
,,
    對貓有毒   許多玉吊鍾 （ Kalanchoe fedtschenkoi ）品種對貓有毒，懷疑食用時必須立即就醫。稱為蟾蜍二烯內酯的有害毒素存在於植物的所有部位，尤其是在花朵中。中毒的最初症狀是嘔吐、腹瀉、流口水、心率變化、虛弱和四肢發冷，但如果不及時治療，中毒會導致心臟驟停和死亡。     ,,
,,
    對人體有高度毒性        虞美人草對人類有輕微毒性。攝入這種植物的葉子或花朵——其中含有復合羅阿丁——可能會產生輕微的鎮靜作用。嘔吐、噁心和意識模糊也是可能的，但並不常見。案件很少是嚴重的。 虞美人草是流行的觀賞物種，也是一種非常常見的農業雜草。儘管人類可能經常接觸這種植物，但虞美人草中毒的情況極為罕見。該物種沒有可食用的相似之處。    關於毒性的進一步資訊    ,,
    對狗有毒   除了在這種植物種子周圍發現的成熟果肉外，其所有部分都含有氰化物，對狗有毒。中毒跡象包括呼吸困難、牙齦變成明亮的蘆葦、休克、瞳孔放大，甚至死亡。當它處於枯萎過程中時， 榆葉梅 如果您認為您的狗有攝入這種植物的風險，請盡快諮詢您的獸醫。    關於毒性的進一步資訊    ,    對貓有毒   許多Prunus triloba屬植物，包括杏、櫻桃和李子，都含有對貓有致命毒性的生氰化學物質；如果貓吃了其中一種植物的任何部分，則必須立即就醫。根據物種的不同，葉子、莖、種子、花蕾、核、果實和（或）漿果可能有毒。 榆葉梅中毒的症狀包括牙齦發紅、流口水、嘔吐、瞳孔放大、呼吸困難、心跳加快、喘氣和休克。    關於毒性的進一步資訊    ,
,,
    對人體有輕微毒性        魚腥草沒有任何天然毒素；就其本身而言，它相對無害。然而，它能夠從受污染的土壤中提取汞和甲基汞，並在不損害植物的情況下將大量汞儲存在其組織中。到人類食用這種植物時，其中可能含有足以引起汞中毒的有毒金屬。在根和葉中含量最高，其次是根莖和地上莖。即使少量的汞也具有劇毒，這使得生長在受污染土壤中的魚腥草成為重大危害。汞主要攻擊神經系統。汞中毒的症狀包括手指和腳趾以及嘴巴周圍的刺痛感或針刺感，逐漸惡化的隧道視力、虛弱、顫抖、運動控制喪失、記憶力問題、聽力喪失、語言障礙和大腦功能障礙損害，尤其是對嬰幼兒。當這種植物出現在您的院子裡時，請將其根除，尤其是當您住在城市或不確定土壤質量時。    關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性        油點百合的所有部分都具有輕微毒性，尤其是其乳膠。乳膠接觸皮膚會引起皮疹，因此在拉動、修剪或處理這種植物時戴上手套。如果食用這種植物，它會刺激您的口腔、咽喉和整個消化道，導致口腔和咽喉疼痛、腫脹、噁心、嘔吐、胃痛和腹瀉。用肥皂和水清洗家裡所有接觸過這種植物的人的皮膚。    關於毒性的進一步資訊    ,,
,,
    對狗有毒   一種叫做無花果苷的多汁物質存在於優曇花所有部分，當它接觸狗的眼睛、嘴巴或皮膚或被攝入時，會引起中度的毒性反應。它會導致犬類嚴重不適，症狀包括過度流口水、爪子抓臉、皮膚刺激以及嘔吐和腹瀉。在所有情況下都建議去看獸醫。 優曇花是一種流行的室內植物，因此在用這種植物裝飾的房屋中要小心。     ,,
,,
,,
,,
    對人體有輕微毒性        硬骨忍冬大量攝入時有輕微毒性。中毒最常發生在兒童身上，因為他們被這種植物誘人的鮮紅色漿果所吸引。過量食用會導致胃腸道問題，包括腹痛、腹瀉和嘔吐。沒有證據表明因硬骨忍冬中毒而導致死亡。有些人對這種植物過敏，因此直接接觸皮膚可能會引起皮疹。然而，該植物通常不會在一般人群中引起任何不良皮膚反應。    關於毒性的進一步資訊    ,,
    對人體有中度毒性        鷹爪豆因含有有毒成分胞嘧啶和司巴丁，攝入後會產生劇毒。這些危險的化學物質會影響呼吸道和心率。種子和花朵似乎是植物中毒性最強的元素，儘管所有部分都含有這些化學物質。有證據表明，攝入這些種子會導致兒童死亡。 鷹爪豆中毒可能會導致嘔吐、腹瀉和腹痛等胃腸道症狀，隨著消費量的增加，神經系統症狀也會出現。    關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性        像許多莢蓮屬物種一樣， 櫻葉莢蒾的漿果在未成熟時會刺激胃。罪魁禍首之一是水楊苷，它是阿司匹林的近親，具有相似的作用。對於對阿司匹林不敏感的人，他們最糟糕的體驗是噁心和可能嘔吐。對於對阿司匹林敏感的人，他們可能會出現蕁麻疹、嘴唇腫脹和呼吸困難等反應。患有病毒感染的兒童如果食用足夠多的這種水果，可能會感染雷氏綜合症。此外，孕婦應避免使用，因為它可能會導致出生缺陷。避免進食，尤其要放在兒童接觸不到的地方。    關於毒性的進一步資訊    ,,
    對人體有輕微毒性        與李屬的幾乎所有成員一樣，這個櫻杏在每個部分都含有氰化物前體，包括它的種子，唯一的例外是它的果實。一旦人類吃了種子、葉子或植物的任何其他部分，這些氰毒素在與胃酸接觸時就會轉化為氰化物氣體。這種氣體通過粘膜吸收並使人中毒。症狀從激動發展為虛弱、失去協調和肌肉痙攣、移動或說話困難、呼吸和心跳減慢，最後死亡。    關於毒性的進一步資訊    ,    對狗有毒   除了在這種植物種子周圍發現的成熟果肉外，其所有部分都含有氰化物，對狗有毒。中毒跡象包括呼吸困難、牙齦變成明亮的蘆葦、休克、瞳孔放大，甚至死亡。當它處於枯萎過程中時， 櫻杏 如果您認為您的狗有攝入這種植物的風險，請盡快諮詢您的獸醫。    關於毒性的進一步資訊    ,    對貓有毒   許多Prunus cerasifera屬植物，包括杏、櫻桃和李子，都含有對貓有致命毒性的生氰化學物質；如果貓吃了其中一種植物的任何部分，則必須立即就醫。根據物種的不同，葉子、莖、種子、花蕾、核、果實和（或）漿果可能有毒。 櫻杏中毒的症狀包括牙齦發紅、流口水、嘔吐、瞳孔放大、呼吸困難、心跳加快、喘氣和休克。    關於毒性的進一步資訊    
,,
,,
    對人體有中度毒性        罌粟是美麗但致命的。提煉成嗎啡和其他止痛藥的乳膠來源很容易中毒，劑量足夠大可以殺死你。乳汁中含有引起中毒的有毒生物鹼，花下長出的種子囊含有大部分乳汁。食用這種植物或僅食用其乳膠會導致昏迷、危險的呼吸和心跳減慢，如果攝入量足夠，則會昏迷和死亡。兒童特別容易服用過量，也最有可能嘗試食用這種植物。讓孩子遠離這種植物。    關於毒性的進一步資訊    ,,
,,
,,
    對狗有毒   一種叫做無花果苷的多汁物質存在於印度橡膠樹所有部分，當它接觸狗的眼睛、嘴巴或皮膚或被攝入時，會引起中度的毒性反應。它會導致犬類嚴重不適，症狀包括過度流口水、爪子抓臉、皮膚刺激以及嘔吐和腹瀉。在所有情況下都建議去看獸醫。 印度橡膠樹是一種流行的室內植物，因此在用這種植物裝飾的房屋中要小心。     ,    對貓有毒   許多Ficus elastica屬的物種對貓有輕微到嚴重的毒性。有害毒素見於所有部位的印度橡膠樹 。如果攝入，它們通常會引起輕微的胃腸道紊亂，而與植物汁液的身體接觸會引起皮膚刺激，尤其是口腔周圍。在嘔吐或腹瀉嚴重的情況下，建議就醫以避免脫水並發症。     ,
    對狗有毒   一種叫做無花果苷的多汁物質存在於印度菩提樹所有部分，當它接觸狗的眼睛、嘴巴或皮膚或被攝入時，會引起中度的毒性反應。它會導致犬類嚴重不適，症狀包括過度流口水、爪子抓臉、皮膚刺激以及嘔吐和腹瀉。在所有情況下都建議去看獸醫。 印度菩提樹是一種流行的室內植物，因此在用這種植物裝飾的房屋中要小心。     ,    對貓有毒   許多Ficus religiosa屬的物種對貓有輕微到嚴重的毒性。有害毒素見於所有部位的印度菩提樹 。如果攝入，它們通常會引起輕微的胃腸道紊亂，而與植物汁液的身體接觸會引起皮膚刺激，尤其是口腔周圍。在嘔吐或腹瀉嚴重的情況下，建議就醫以避免脫水並發症。     ,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
,,
    對人體有高度毒性        印第安麻對人類是劇毒的。這種植物有可能導致嚴重的疾病甚至死亡。植物的所有部分都含有強心苷。如果攝入足夠多的量，這些化合物會導致心臟驟停，這反過來可能是致命的。這些植物不常用於觀賞，因此大多數人在它們的自然棲息地接觸它們——它們最常見於潮濕、陰涼的區域，如溪邊。值得慶幸的是，這種有毒植物沒有任何可食用的相似之處，因此人類攝入的情況非常罕見。    關於毒性的進一步資訊    ,    對貓有毒   印第安麻對貓中度有毒。整個植物被認為是有毒的。症狀包括抽搐、藍色黏膜、食慾不振、流口水和嘔吐。如果您懷疑您的貓攝入了這種植物的任何部分，請務必聯繫您的獸醫。    關於毒性的進一步資訊    ,
    對人體有輕微毒性        銀葉茄是劇毒植物。它的漿果含有有毒的配糖生物鹼茄鹼，根、葉、莖也含有有毒的生物鹼。攝入這種水果會導致嚴重的神經系統、胃腸道和冠狀動脈問題。症狀包括腹痛、噁心、嘔吐和腹瀉。還會出現頭痛、嘔吐、頭暈和意識模糊以及心律失常。大量的漿果會導致長期的健康影響或可能致命。這種植物對成年人幾乎沒有風險，儘管孩子們會被成熟的漿果所吸引。    關於毒性的進一步資訊    ,    對狗有毒   忠於這種植物的聲譽，食用銀葉茄對狗來說可能是劇毒的，需要立即引起獸醫注意。這些植物的所有部分都含有多種有毒物質，會導致食慾不振、流口水過多、嘔吐、腹瀉、瞳孔放大、意識模糊、行為改變和虛弱。在更嚴重的情況下，可能會出現呼吸困難、心率降低、昏迷甚至死亡，因此如果您的寵物接觸過這種植物，請將其視為醫療緊急情況。    關於毒性的進一步資訊    ,    對貓有毒   正如其名聲，這種植物對貓有劇毒，如果您的寵物攝入了這種植物，應立即就醫。 銀葉茄品種在其所有部分都帶有毒藥，而在其他品種中，它只有一部分，例如漿果。最常見的症狀是嚴重的胃腸道不適、腹瀉、意識模糊、流口水、食慾不振、虛弱、瞳孔放大和心率減慢。    關於毒性的進一步資訊    
,,
,,
    對人體有輕微毒性        如果攝入， 銀杏會對人類造成有害反應，特別是對那些敏感或大量食用這種植物的人。影響通常是溫和的，由種子中存在的氰苷引起。症狀包括頭痛、噁心、胃痛、便秘、頭暈、意識模糊。心律不齊，甚至皮膚發炎。有些人可能會在沒有意識到它們所帶來的危險的情況下食用準備不當的種子，而另一些人可能會在沒有意識到可能的中毒症狀的情況下將植物用於藥用目的。老年人或患有癲癇症或血液病的人可能更容易受到這種植物的毒性影響。    關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性        銀栲如果被人類攝入或接觸可能會產生輕度毒性，該屬的許多其他成員也是如此。由於許多金合歡植物中常見的生物鹼，該植物的所有部分都可能有毒。據一些消息來源稱，觸摸或食用這種植物可能會刺激皮膚或胃部。    關於毒性的進一步資訊    ,,
    對人體有輕微毒性        由於植物的所有部分都含有許多有害化學物質和過敏原，包括毛狀體（覆蓋植物的細小毛髮）和花粉，因此與銀膠菊對銀膠菊過敏反應大多不會造成致命後果，但長時間接觸植物（包括其花粉和灰塵）會導致過敏性接觸性皮炎、皮膚灼傷、皮膚炎症、皮膚上的環和水泡、黑斑、水泡眼睛周圍、濕疹、哮喘、過敏性鼻炎、過敏性支氣管炎、腹瀉、呼吸困難和窒息。放牧該植物的牲畜生產的牛奶和肉類質量較低，對人類食用可能不安全。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
